weight_kg,stature_cm,neck_base_girth,chest_girth,waist_girth,hips_buttock_girth,shoulder_girth,thigh_girth,thigh_low_girth,calf_girth,ankle_girth,forearm_girth,wrist_girth,shoulder_length,sleeveoutseam_length,forearm_length,crotchheight_length,waistback_length,thigh_length,chest_depth_length,head_girth
79.3,179.5,40.4,96.4,91.2,99.6,109.5,62.1,41.2,37.0,21.9,28.1,18.0,15.1,58.2,24.6,85.7,48.3,44.5,22.4,57.5
78.2,174.5,40.9,97.1,86.4,101.6,108.4,63.5,41.4,38.0,22.9,29.2,18.3,14.2,60.5,27.4,85.7,45.4,43.4,24.4,57.1
88.2,181.8,43.8,105.7,96.5,104.8,113.5,64.6,41.6,40.7,22.4,31.4,17.6,14.5,57.7,24.9,86.4,50.0,42.8,26.1,56.8
71.5,188.1,43.6,95.7,77.7,91.5,114.1,53.1,36.7,36.2,22.3,28.4,17.9,15.3,62.5,27.4,92.4,49.9,46.5,22.5,58.3
94.7,176.0,42.8,110.8,106.3,109.2,114.1,68.4,43.7,43.6,23.8,31.7,18.6,14.8,63.5,28.1,85.4,50.7,40.3,27.2,59.5
66.5,167.5,40.0,94.7,87.0,91.7,104.0,55.7,36.6,35.8,21.0,26.3,15.8,14.3,57.8,25.6,82.2,45.3,42.3,23.8,55.4
87.9,185.2,42.5,104.3,96.6,104.7,118.2,61.7,41.5,40.0,22.5,31.2,18.3,16.0,65.0,29.1,92.0,50.7,49.8,24.6,57.0
67.5,178.5,43.8,96.5,80.6,93.1,112.3,52.8,35.7,36.8,22.3,27.6,17.1,15.9,59.4,27.1,86.5,46.8,45.7,22.8,56.0
88.4,179.1,44.2,117.4,109.6,101.5,115.4,62.0,39.1,38.1,22.0,29.4,16.8,13.6,63.4,27.8,86.7,49.2,43.3,27.0,57.8
69.5,168.5,38.9,95.1,89.5,94.1,101.3,63.7,39.6,34.0,19.3,26.5,15.5,13.8,58.6,26.1,81.5,45.8,41.7,23.9,56.2
121.8,185.0,43.8,118.2,121.4,122.1,125.3,78.1,48.8,43.7,25.5,35.8,19.7,17.1,63.5,29.3,89.2,52.8,44.4,28.6,57.7
71.9,173.7,42.5,98.1,79.0,93.1,114.7,59.4,37.9,36.7,21.8,30.7,17.2,15.0,61.1,27.4,85.7,45.6,41.5,23.2,58.3
88.1,174.3,45.6,108.6,100.2,103.2,120.9,61.3,43.1,39.3,23.0,30.6,18.0,15.4,57.0,26.3,81.8,48.1,39.7,25.1,60.5
57.5,174.4,39.6,86.5,74.8,87.2,101.2,49.7,31.8,34.8,19.3,26.8,16.1,14.0,59.3,26.5,83.6,47.7,43.7,20.1,57.7
87.6,167.9,46.4,120.5,104.3,102.6,123.3,62.8,41.2,38.9,22.7,30.0,17.4,14.9,55.9,25.8,82.3,48.3,40.2,28.0,56.3
85.0,183.6,43.0,101.3,86.4,99.8,115.0,62.7,42.9,39.8,24.6,31.3,18.2,15.5,57.8,26.3,87.0,49.2,44.0,25.5,59.4
86.5,173.0,43.7,115.2,96.9,98.8,124.4,63.0,38.8,38.2,23.1,30.7,17.7,15.2,56.3,25.7,82.9,47.1,44.3,27.3,59.0
95.8,176.2,44.4,109.6,109.5,111.5,116.7,69.8,44.0,42.0,24.0,31.2,17.7,14.1,57.5,25.9,84.1,47.5,40.7,25.7,56.8
66.7,166.9,39.6,95.7,77.0,90.1,108.6,55.1,38.8,37.3,22.7,27.9,16.4,14.7,55.2,25.0,76.5,43.6,38.0,22.9,57.3
70.6,174.0,41.5,98.5,84.0,97.3,110.0,57.0,36.4,33.6,21.5,29.5,17.8,14.0,59.0,26.2,83.8,46.6,39.9,23.4,55.0
84.7,170.9,45.3,106.3,102.8,100.2,119.0,65.2,41.2,38.5,21.3,31.1,17.0,14.3,58.9,26.1,81.5,49.4,42.3,27.9,58.3
101.3,187.9,46.8,113.7,102.1,106.3,119.5,64.2,42.1,40.4,24.5,34.0,19.1,14.1,58.7,26.2,90.4,49.2,46.5,29.2,59.0
85.6,167.4,42.9,110.6,106.1,105.1,112.3,65.8,42.5,41.7,23.3,29.6,17.0,13.8,56.2,25.4,78.9,50.6,38.7,27.4,55.8
109.5,177.9,44.3,116.6,113.9,124.3,125.4,77.3,51.7,45.5,26.2,32.7,19.0,13.9,58.1,26.9,82.9,47.9,41.7,27.4,56.3
83.4,184.4,46.1,108.1,92.2,100.7,116.4,62.8,39.9,36.4,21.3,29.1,18.2,14.0,64.2,29.0,89.4,48.1,44.1,24.3,58.2
72.7,163.7,42.3,100.6,99.5,98.1,107.3,58.2,38.7,35.8,20.6,28.9,16.0,12.6,54.8,25.5,80.1,46.5,42.3,23.8,53.0
98.6,175.4,47.5,115.3,104.7,103.0,118.7,66.2,44.7,43.3,25.1,31.6,18.1,13.3,59.6,27.4,83.3,49.5,44.3,28.9,57.4
77.3,170.4,44.9,103.7,88.5,95.4,115.5,58.9,39.2,37.7,24.2,33.0,18.2,13.8,53.0,24.7,79.6,48.5,39.2,24.1,57.8
140.0,184.0,52.8,146.9,137.9,126.5,130.9,78.1,50.0,45.6,26.0,37.9,19.7,14.7,65.0,30.2,89.7,58.0,43.6,38.3,59.5
67.4,178.3,39.8,90.1,75.0,89.7,109.3,53.2,35.9,37.3,20.8,29.1,17.7,14.2,64.7,30.4,91.1,42.5,47.2,20.5,56.8
88.4,174.8,42.2,107.1,97.0,106.7,118.4,67.1,41.8,41.8,23.2,28.9,17.1,14.7,56.5,24.8,81.3,46.2,40.9,24.7,58.2
98.8,170.3,49.5,126.3,106.8,109.9,125.2,64.6,40.5,37.3,21.5,30.6,17.9,14.6,59.1,25.8,83.9,52.1,42.7,31.3,57.4
95.2,185.2,44.0,114.6,101.2,102.3,123.4,61.3,41.6,41.1,24.2,31.4,17.5,16.9,61.7,28.1,89.0,50.3,44.4,27.0,58.0
56.6,160.9,38.1,85.8,75.4,87.7,103.5,51.8,35.1,36.7,20.3,26.1,16.1,14.2,55.4,25.6,78.9,44.2,40.1,18.9,55.7
71.7,170.9,42.5,104.4,92.6,96.8,113.0,59.2,37.9,36.0,19.0,29.0,16.7,14.0,58.1,25.8,85.2,44.4,43.2,23.7,56.4
71.7,183.5,41.0,90.4,82.7,95.2,106.5,54.7,37.2,39.3,23.4,27.0,17.6,15.5,63.0,28.2,90.0,47.5,45.4,20.5,56.6
80.2,167.9,45.2,103.3,94.0,103.2,114.1,62.1,41.8,41.0,22.3,29.6,17.7,13.6,59.4,27.1,82.4,46.6,42.8,26.7,54.7
98.8,174.2,47.2,116.0,113.3,107.4,116.1,68.5,43.6,40.3,22.2,32.1,17.9,14.2,58.3,26.6,82.1,51.9,43.4,31.0,56.6
66.2,169.8,41.1,97.1,84.3,92.2,103.7,56.7,37.1,34.5,20.6,26.0,16.9,12.0,56.1,24.6,82.5,45.4,39.8,22.9,56.7
80.7,167.1,45.7,105.0,102.1,102.5,111.2,62.1,41.5,37.0,23.0,29.4,17.3,13.5,57.9,25.9,79.2,46.1,41.7,25.0,56.9
105.3,185.0,47.5,121.3,106.1,108.7,125.8,65.8,43.7,40.4,25.0,31.8,18.9,15.5,60.0,27.0,92.6,48.6,48.6,30.7,60.0
68.3,175.4,40.5,94.4,78.6,93.9,111.7,54.8,36.9,36.4,22.2,30.1,17.1,15.3,60.0,27.1,86.2,44.0,44.0,20.4,55.2
74.9,161.9,43.0,98.9,85.5,95.2,114.3,61.4,40.6,40.5,22.3,32.8,17.1,13.8,55.0,24.6,78.6,43.3,42.2,24.4,57.5
73.8,177.2,41.3,97.5,83.0,95.6,111.6,59.3,40.8,37.0,23.1,27.0,17.0,14.9,57.5,27.2,86.0,46.1,44.3,21.4,57.0
60.4,170.5,38.8,93.9,74.3,82.3,106.7,49.8,34.1,33.0,20.1,28.2,16.2,13.2,60.0,27.5,87.4,39.6,44.4,23.0,57.4
77.4,161.9,42.8,109.1,96.7,99.9,114.3,58.5,40.0,37.8,21.5,29.5,16.4,15.0,54.3,23.7,77.5,44.3,38.1,26.7,58.0
76.8,172.6,43.3,98.3,92.2,97.6,115.6,61.4,38.1,37.3,21.3,28.7,17.5,15.7,54.5,24.8,80.9,45.8,41.3,23.6,59.2
102.2,184.0,42.9,112.9,112.0,111.6,119.2,69.4,42.4,40.5,24.0,31.8,17.5,16.0,62.0,28.7,90.5,49.1,44.7,29.6,58.3
96.3,174.3,47.4,120.5,106.0,107.1,121.7,60.9,42.0,42.7,24.0,32.0,18.4,16.7,59.0,26.2,82.5,48.0,42.9,28.0,56.9
92.3,167.4,45.2,112.3,103.0,108.1,120.1,68.5,41.9,41.0,23.3,33.0,17.5,13.5,57.8,25.2,76.5,49.0,39.0,29.3,55.7
98.8,175.0,45.7,112.9,97.4,107.3,126.4,68.7,43.3,44.2,24.3,34.9,19.0,16.1,58.5,27.5,87.2,49.7,45.0,26.5,58.5
88.7,181.9,45.0,104.8,84.4,104.2,127.1,63.6,38.7,38.3,23.7,31.4,17.8,16.5,61.5,27.4,87.6,45.4,44.9,25.2,56.3
98.7,179.9,44.6,106.3,96.9,102.2,118.9,66.9,46.3,43.6,26.3,33.4,18.5,14.4,60.5,27.6,91.5,45.9,45.4,26.5,62.8
85.2,175.0,41.2,109.8,101.0,101.7,117.3,63.1,39.9,36.5,21.8,30.0,16.6,14.8,60.6,26.9,87.3,46.4,43.1,27.1,58.7
74.8,172.3,42.2,97.2,89.2,97.2,114.0,58.8,39.6,39.9,22.6,28.4,17.8,15.4,60.3,27.1,87.5,43.6,43.5,24.1,58.3
92.0,180.9,42.7,112.7,103.2,100.6,114.2,64.1,42.8,38.5,23.7,29.8,17.5,13.8,59.2,26.3,88.8,48.8,44.1,28.3,56.7
74.4,179.1,42.6,96.3,85.1,94.9,114.2,58.1,39.5,37.3,21.4,29.1,17.4,14.0,58.3,25.9,85.1,48.1,42.6,21.9,60.0
82.3,172.3,44.1,109.8,97.9,98.6,119.3,59.2,38.4,36.9,21.0,29.1,16.5,15.1,57.2,25.4,81.6,46.8,41.5,27.0,58.4
62.7,157.8,40.0,95.3,85.7,92.6,101.3,57.0,38.6,34.8,20.2,27.7,15.7,12.6,50.8,22.3,72.4,43.2,36.8,21.9,54.1
77.8,171.8,43.2,102.4,97.9,99.0,111.6,59.7,38.3,39.5,24.5,28.8,17.5,14.6,58.5,25.8,84.2,48.5,41.2,23.4,57.0
88.2,179.9,43.2,104.3,98.4,107.0,115.1,63.9,41.6,39.6,24.5,31.8,18.6,15.4,58.0,25.9,84.4,47.8,41.6,24.3,56.6
59.0,174.0,39.8,90.2,72.1,84.7,109.5,50.7,33.2,34.4,21.1,28.0,16.5,15.5,59.0,27.1,88.1,42.8,43.7,21.5,55.5
73.0,170.2,42.4,100.8,88.5,93.9,113.7,55.5,36.6,34.7,21.2,28.5,16.7,15.0,56.5,25.2,80.4,46.9,40.6,25.1,57.0
86.4,173.7,45.0,102.7,96.1,105.4,118.7,64.9,42.8,39.4,23.5,32.2,18.0,15.9,57.8,25.5,84.1,46.0,41.6,24.6,57.4
86.6,173.0,42.4,104.4,99.6,104.6,114.2,64.1,42.1,41.0,23.1,31.4,17.5,14.5,57.9,25.6,83.0,45.7,42.7,24.7,56.8
73.7,178.5,42.6,91.7,83.8,99.7,106.4,60.9,38.0,36.4,22.4,27.7,18.0,14.7,59.5,27.0,86.4,49.9,44.5,22.9,58.0
65.4,181.7,41.6,91.7,75.2,88.4,109.6,50.7,35.6,35.3,21.0,27.9,18.0,15.7,65.6,29.1,90.9,47.0,47.0,20.9,55.2
69.6,184.3,40.8,92.4,77.5,93.1,112.8,53.2,37.4,35.3,22.1,27.1,18.1,17.1,61.0,27.3,89.6,46.8,45.7,20.8,57.3
77.5,179.1,42.5,99.4,80.9,97.3,117.9,57.6,38.3,38.0,23.3,31.0,17.8,16.1,60.0,27.1,89.1,45.7,44.2,23.1,56.4
72.7,165.7,39.5,100.1,86.2,99.9,112.8,62.9,39.8,39.4,22.3,26.9,15.5,14.5,53.3,24.2,80.2,40.2,39.6,23.1,56.0
79.7,170.1,42.7,106.9,102.7,98.8,112.4,61.3,38.9,36.7,23.1,30.6,17.4,13.3,57.2,26.1,82.2,47.3,40.6,26.5,53.0
74.4,178.6,42.0,99.5,79.7,100.7,114.8,58.6,37.6,37.7,22.0,28.8,17.0,17.5,58.5,26.4,85.3,46.9,43.3,21.6,59.2
96.8,175.5,45.1,110.4,108.2,111.8,119.7,71.3,40.8,39.8,22.8,32.0,18.5,14.2,58.3,27.2,82.1,50.1,42.9,25.3,58.5
86.6,179.1,42.1,104.5,94.2,96.5,115.7,59.7,41.7,38.8,22.5,32.5,18.5,15.1,62.5,28.0,89.2,46.9,43.4,25.7,55.3
74.2,175.9,40.1,101.5,87.1,99.7,112.7,59.8,38.4,38.8,22.8,27.9,16.7,16.1,60.0,26.6,84.6,49.0,43.9,25.0,56.3
92.0,179.0,41.6,110.9,91.2,108.9,119.5,68.0,45.3,39.3,23.3,31.1,17.8,15.0,61.9,27.6,87.1,44.3,42.4,26.2,59.3
81.4,178.2,43.3,99.1,87.3,98.3,112.3,62.7,41.4,39.2,23.7,28.6,17.5,15.0,55.3,25.5,82.3,48.8,42.1,25.5,57.5
64.6,183.9,38.2,84.4,78.5,89.0,96.1,51.7,35.8,37.6,23.6,27.8,17.5,11.5,61.0,26.7,90.1,49.2,43.4,21.7,56.5
95.4,188.0,42.3,117.6,102.3,105.9,115.4,63.2,41.6,39.3,22.7,31.1,17.4,16.0,64.8,29.5,95.2,51.1,45.4,28.4,58.2
85.3,173.8,44.1,108.5,92.4,101.8,122.2,62.3,41.7,40.2,24.3,31.9,18.1,15.0,60.0,26.1,81.8,49.4,44.2,25.9,57.7
90.0,173.4,44.5,108.5,100.1,104.7,119.4,64.8,40.2,42.0,24.7,32.5,18.1,16.3,58.8,26.0,79.9,50.7,41.9,25.7,58.5
83.5,181.9,46.1,102.1,90.1,98.8,122.0,59.0,37.6,34.7,21.3,30.3,16.8,15.3,65.4,29.5,93.4,47.6,48.2,24.7,58.0
85.1,168.3,44.7,109.6,95.8,100.3,116.2,65.1,40.9,39.7,25.2,31.2,17.0,13.9,54.5,25.4,80.5,44.3,42.2,24.6,60.1
89.7,181.5,44.2,106.3,97.2,105.2,115.6,65.5,41.0,39.8,23.4,29.9,17.8,13.9,61.5,27.3,89.1,50.1,45.4,24.3,57.1
87.2,181.5,44.3,103.0,93.9,106.8,115.4,63.2,44.1,37.2,22.4,31.7,17.9,14.5,58.9,26.7,83.7,51.5,42.1,23.6,56.5
82.2,167.3,45.2,110.6,100.3,102.2,119.7,64.2,41.2,36.6,20.7,30.1,16.7,13.9,56.3,25.5,79.2,47.0,40.6,26.8,56.2
111.2,183.1,47.9,116.3,113.9,107.2,124.3,67.2,45.3,43.3,25.3,32.9,20.1,15.0,60.0,27.7,86.0,51.7,42.9,29.7,59.4
98.7,179.5,43.2,108.9,116.2,115.3,116.1,69.2,42.3,41.9,23.2,32.0,18.5,16.5,57.5,27.1,87.5,52.7,45.1,28.4,57.4
110.5,184.5,49.1,114.9,111.1,112.4,122.8,70.6,45.8,47.8,25.2,32.1,18.5,14.0,62.5,28.3,86.1,48.2,45.6,27.0,60.0
78.2,168.7,41.4,104.1,90.0,96.5,112.7,60.6,38.8,39.0,21.4,30.1,17.4,13.4,56.5,24.3,77.6,42.8,38.7,24.7,56.7
86.9,175.6,43.6,105.6,99.8,99.7,111.7,61.7,41.1,39.0,23.6,31.9,18.3,11.8,59.5,27.6,84.7,52.4,44.8,26.4,56.6
141.3,184.6,46.6,135.8,133.0,123.4,136.8,79.7,50.2,44.3,27.4,36.1,20.0,16.0,61.5,27.8,92.0,54.3,46.3,31.5,59.4
78.9,165.7,43.9,102.5,89.7,100.8,121.9,63.4,39.9,38.8,22.8,32.5,18.3,15.8,53.2,24.5,78.1,45.5,40.1,24.5,56.3
69.0,163.2,38.6,100.0,91.1,93.3,110.5,56.3,39.1,37.2,22.7,27.2,16.1,14.0,54.8,25.9,77.7,43.9,38.4,22.5,57.1
79.2,173.5,42.9,102.6,86.1,100.3,118.6,56.8,37.9,39.9,22.9,30.5,18.1,15.6,60.1,27.4,85.0,43.5,41.9,24.5,57.7
69.9,172.6,43.3,98.9,92.0,91.2,106.4,54.9,36.1,33.9,20.0,28.1,16.4,14.2,59.1,26.6,82.6,49.5,42.8,23.3,57.5
121.2,187.7,47.3,125.1,119.2,117.6,125.8,69.4,45.7,45.6,25.4,32.8,19.0,15.0,63.0,27.4,88.0,52.0,45.3,30.3,60.0
87.8,188.7,41.3,103.0,101.2,101.3,118.3,58.5,40.6,38.2,23.7,31.0,19.1,17.0,60.3,29.4,90.1,52.6,44.3,24.8,58.5
70.6,176.5,40.4,97.0,84.5,91.1,106.0,54.7,36.2,39.1,21.9,29.8,17.1,14.2,61.7,27.4,90.7,46.7,45.6,24.2,54.8
82.2,179.3,44.6,103.5,84.3,98.4,120.1,62.0,40.3,38.7,21.3,33.4,17.2,14.9,62.8,28.9,90.5,47.7,47.9,24.5,55.7
99.2,184.9,47.9,107.6,91.0,105.4,126.8,67.8,43.5,40.8,24.3,33.5,18.3,16.0,60.4,28.2,88.9,49.1,43.0,25.9,62.5
76.0,181.1,43.0,103.8,87.9,95.7,115.1,55.4,38.6,38.0,22.3,30.4,17.9,14.6,62.8,26.9,88.3,48.0,45.5,24.0,55.6
98.8,173.9,46.4,111.3,103.1,107.4,121.0,67.5,43.5,46.1,24.8,32.5,18.4,14.0,59.6,26.5,83.5,50.6,42.0,29.3,57.8
75.9,166.8,40.1,101.1,92.9,102.8,108.5,64.4,41.1,37.6,22.3,28.5,16.1,14.0,58.8,25.9,83.9,46.5,41.7,26.6,56.5
89.8,178.8,43.0,102.4,99.4,107.3,114.4,66.9,42.8,42.4,24.5,30.9,18.4,14.7,62.5,28.7,88.2,48.7,42.8,25.5,58.1
78.2,174.6,44.2,99.7,81.5,96.8,118.2,60.8,38.2,37.8,22.1,31.9,17.2,15.3,59.0,27.7,90.1,43.0,47.8,23.2,59.1
83.1,175.0,43.5,105.7,98.3,100.1,116.5,58.8,38.5,36.7,21.4,31.0,17.6,15.0,58.1,26.4,84.8,47.8,44.8,24.3,56.3
99.6,181.0,47.1,108.2,100.4,110.9,124.2,72.3,45.0,42.6,26.7,32.9,18.6,14.9,61.3,27.1,89.3,44.0,43.6,24.8,59.6
74.2,171.0,43.2,100.2,82.5,96.3,111.5,61.1,41.4,38.7,21.5,30.9,16.4,13.3,56.0,23.8,79.8,47.1,40.7,23.7,55.3
96.8,184.7,45.5,113.2,107.7,106.2,122.3,66.7,40.5,37.7,23.3,31.4,17.7,16.9,63.8,28.8,93.1,49.1,48.6,28.5,56.0
91.6,181.1,41.1,112.3,95.2,107.6,116.2,67.8,39.9,42.1,24.1,28.4,17.3,15.6,57.0,27.1,87.4,47.1,43.6,27.2,56.1
108.0,178.0,45.7,117.5,104.7,111.9,128.6,71.2,44.9,42.2,24.4,34.1,17.9,17.0,63.1,29.7,89.1,49.5,45.8,30.7,57.0
78.8,174.0,44.0,102.1,85.1,97.9,117.0,61.2,40.3,38.5,22.4,29.6,17.2,15.0,54.8,25.0,82.2,47.2,44.2,21.9,59.5
94.9,179.7,45.3,111.5,92.0,105.5,122.4,67.3,43.8,42.3,23.4,35.1,18.2,15.9,59.3,26.7,87.2,47.5,43.6,27.0,58.2
90.6,175.5,45.0,111.2,93.4,104.2,124.1,66.2,40.7,41.4,23.4,33.7,17.3,14.6,59.5,27.7,88.6,47.1,42.3,28.1,56.0
106.9,184.2,44.6,116.5,111.4,116.3,124.8,72.2,46.1,42.1,24.3,31.9,19.1,17.1,65.6,29.0,91.0,51.4,45.4,28.8,59.5
87.4,165.6,43.5,105.6,96.7,106.3,115.7,68.3,43.0,41.3,23.5,29.9,16.5,13.6,55.3,25.7,82.1,45.1,41.2,25.7,58.0
87.9,177.6,44.3,104.8,100.7,104.8,118.3,63.4,41.5,39.7,22.8,29.0,17.8,15.3,62.0,28.0,84.9,52.5,44.1,27.5,58.2
115.4,185.9,45.5,113.7,110.9,118.0,119.9,74.2,49.6,45.0,25.5,34.6,18.6,15.5,60.8,27.2,91.6,52.7,44.7,28.2,60.3
79.0,168.5,46.2,104.1,82.7,98.7,115.4,61.3,41.9,39.6,23.7,31.7,18.2,13.9,56.1,25.0,80.3,50.0,40.6,24.9,55.5
88.7,177.5,44.8,102.7,94.7,107.8,117.6,68.5,44.7,42.3,25.5,30.8,18.2,15.6,58.8,26.3,86.8,48.1,45.1,25.5,56.5
86.6,182.5,43.1,102.1,88.1,101.6,116.2,62.9,41.1,41.2,23.3,32.8,17.5,15.8,65.4,31.0,96.5,47.1,48.7,25.4,58.0
80.6,193.1,43.3,100.1,83.3,97.8,116.8,56.2,37.1,38.4,22.3,28.8,17.7,17.5,65.5,29.3,98.2,49.7,49.0,22.1,58.4
96.6,178.9,45.5,112.6,96.3,105.8,123.5,65.8,44.5,45.1,24.8,32.1,18.8,16.5,60.0,26.9,86.0,46.6,45.1,26.0,57.6
109.9,181.9,47.3,122.5,110.0,107.8,129.5,68.7,42.9,42.7,22.7,33.8,18.1,15.7,59.5,27.2,88.3,51.0,44.8,30.3,58.4
77.1,178.2,43.8,107.0,85.2,95.1,121.6,57.0,38.8,37.5,21.8,29.4,17.7,16.4,56.8,26.1,86.6,47.8,44.6,24.2,57.7
95.1,172.1,42.9,110.2,94.1,112.3,120.0,71.2,44.5,42.7,23.8,31.5,17.9,16.0,55.5,24.7,80.2,44.9,42.4,26.3,56.0
111.8,191.0,49.1,119.4,102.6,111.8,131.4,71.2,45.1,43.6,24.5,34.1,18.3,16.0,64.5,29.8,96.6,50.2,48.3,29.1,60.6
89.5,180.4,42.5,109.7,97.8,105.2,118.1,62.9,40.4,38.8,22.5,31.9,18.1,15.4,61.4,26.7,87.5,49.1,44.6,26.0,55.7
106.0,178.2,47.6,120.8,115.0,114.1,123.5,69.8,42.5,43.7,23.6,31.5,17.8,14.4,58.5,26.2,87.6,48.5,45.3,27.9,60.2
95.1,177.7,44.4,111.6,93.5,105.6,124.5,68.0,43.9,44.2,25.0,32.2,17.3,16.8,58.6,27.4,89.5,47.5,45.2,27.1,57.0
72.1,166.5,40.0,99.5,92.3,96.0,109.6,56.7,37.5,38.5,20.5,28.8,16.4,14.0,56.6,27.0,76.8,45.4,42.4,22.5,57.0
87.2,180.3,39.8,109.2,97.3,103.4,118.3,64.2,41.8,37.7,21.5,30.0,18.7,15.9,60.5,26.7,88.0,47.9,47.1,26.7,57.8
97.8,187.9,48.2,107.9,90.8,104.6,127.2,66.9,43.8,43.8,24.3,33.1,18.6,17.1,63.2,28.8,93.5,46.6,47.7,25.4,58.9
97.4,173.3,45.2,117.9,111.1,113.2,122.6,68.4,42.7,40.6,22.4,31.3,17.2,13.6,58.5,26.3,83.9,48.5,43.4,28.4,56.5
95.8,183.5,45.5,108.4,103.1,107.2,120.4,64.4,41.9,42.2,23.2,32.7,18.3,15.8,62.9,27.4,92.4,52.4,46.8,26.7,58.8
